player_id,thrower_x,thrower_y,event_type,dest_x,dest_y,event_name
jmiller,-4.62,26.19,18,-12.35,42.38,Throw (completion)
jkerr,-12.35,42.38,18,-14.23,63.35,Throw (completion)
bfield,-14.23,63.35,19,-13.97,102.83,Goal
gnorrbom,-16.11,20.0,18,-16.92,29.93,Throw (completion)
aroy,-16.92,29.93,18,-16.86,39.26,Throw (completion)
tedmonds,-16.86,39.26,18,-8.0,34.66,Throw (completion)
gnorrbom,-8.0,34.66,18,-1.34,40.22,Throw (completion)
jmalks,-1.34,40.22,18,6.41,57.11,Throw (completion)
aroy,6.41,57.11,18,17.46,69.54,Throw (completion)
cjurek,17.46,69.54,22,-1.59,105.25,Throwaway
lyorgason,1.59,14.75,18,5.19,23.93,Throw (completion)
sconnole,5.19,23.93,18,-14.03,30.06,Throw (completion)
glindsley,-14.03,30.06,18,-18.29,49.74,Throw (completion)
jduennebe,-18.29,59.74,18,-17.19,74.45,Throw (completion)
wselfridg,-17.19,74.45,18,-17.9,84.7,Throw (completion)
jmiller,-17.9,84.7,18,-17.77,89.87,Throw (completion)
sconnole,-17.77,89.87,18,-0.94,85.67,Throw (completion)
jkerr,-0.94,85.67,18,11.18,84.7,Throw (completion)
glindsley,11.18,84.7,22,17.11,92.35,Throwaway
jmiller,-11.36,86.85,19,-21.06,110.83,Goal
gnorrbom,-1.0,5.28,18,1.68,22.92,Throw (completion)
aroy,1.68,22.92,18,10.39,30.0,Throw (completion)
tedmonds,10.39,30.0,18,2.29,38.1,Throw (completion)
ebonnet,2.29,38.1,18,-6.22,40.22,Throw (completion)
aroy,-6.22,40.22,18,-10.2,49.56,Throw (completion)
tmonroe,-10.2,49.56,18,-0.25,48.26,Throw (completion)
gnorrbom,-0.25,48.26,18,12.38,57.52,Throw (completion)
tedmonds,12.38,57.52,18,1.4,62.33,Throw (completion)
jwodatch1,1.4,62.33,18,-9.31,70.77,Throw (completion)
tedmonds,5.04,83.2,19,18.91,102.76,Goal
glindsley,-10.94,11.22,18,-1.65,24.19,Throw (completion)
sconnole,-1.65,24.19,18,-16.29,32.38,Throw (completion)
glindsley,-16.29,32.38,18,-2.04,44.25,Throw (completion)
jmiller,-2.04,44.25,18,-15.32,41.8,Throw (completion)
glindsley,-15.32,41.8,18,-3.33,40.0,Throw (completion)
lyorgason,-3.33,40.0,18,13.63,60.12,Throw (completion)
bfield,13.63,60.12,18,16.54,81.22,Throw (completion)
wselfridg,16.54,81.22,18,0.48,73.09,Throw (completion)
